bo_refine _0_-3.0_0.65F
9.023667542053276369e-02 2.934013329956481134e-02
8.351163886500896638e-02 2.836308994024494198e-02
7.682330817703914017e-02 2.732134278938763705e-02
7.017372127902263279e-02 2.621299022131959311e-02
6.356566264537077959e-02 2.503631109591781048e-02
5.704476873624461652e-02 2.379701546874636586e-02
5.076980113742424194e-02 2.250931207092339223e-02
4.474457293581831502e-02 2.115080632273752537e-02
3.894573942692044349e-02 1.969841138181603613e-02
3.335082166128394005e-02 1.813248488610393408e-02
2.793809559031634748e-02 1.643551685315419036e-02
2.268664082967005932e-02 1.459107112235501907e-02
1.757798382038857493e-02 1.258356373974801531e-02
1.259305983459552136e-02 1.039646749390585323e-02
7.788437302376950352e-03 8.050535024895270897e-03
5.043628177621186509e-03 6.525921957085721939e-03
3.557951833310480250e-03 5.502111961265212028e-03
2.570165267051934075e-03 4.648837884054927636e-03
1.898452645534080959e-03 3.920496869059699949e-03
1.393111424383563276e-03 3.226883014379817484e-03
1.025981596682340501e-03 2.574096026162987251e-03
7.400931343899267486e-04 1.881702444844765695e-03
5.455919587377491310e-04 1.168588610156452625e-03
4.379778333789867352e-04 4.094740098388985252e-04
4.205116485738028854e-04 -3.064126171371283399e-04
4.782588354271811700e-04 -9.939941703601053603e-04
6.185474038774769253e-04 -1.668548619526719371e-03
8.348734329192825359e-04 -2.259969205137745893e-03
1.126817924924760923e-03 -2.772253777513136470e-03
1.492510533565771270e-03 -3.228970263306190497e-03
2.011965950345607004e-03 -3.712987845635849597e-03
2.800760705531122469e-03 -4.265073904397282192e-03
3.950902593432421318e-03 -4.886715833679751778e-03
6.342250993630975039e-03 -5.952163639337922779e-03
9.530484623696445709e-03 -7.093703545127324171e-03
1.308417569819227133e-02 -8.065469522810758685e-03
1.724400125391051947e-02 -8.906226418779956619e-03
2.242990103417190004e-02 -9.675508863162474854e-03
2.857975524816146196e-02 -1.041154882208104523e-02
3.493713362781907666e-02 -1.104631720722351086e-02
4.149039579003242773e-02 -1.159374211293803456e-02
4.824751927761519038e-02 -1.207382426322341738e-02
5.521021956611442405e-02 -1.251028201924703209e-02
6.223912520761225309e-02 -1.291253913358357715e-02
6.928012372727969381e-02 -1.328026011881078099e-02
7.633353492383652961e-02 -1.361493807135367475e-02
8.339907312616599844e-02 -1.391804973751483744e-02
9.047702246037117590e-02 -1.419111206043218755e-02
9.756713682671391830e-02 -1.443563461782275577e-02
1.046696242997054993e-01 -1.465315872864839629e-02
1.117843225019988090e-01 -1.484522827536477289e-02
1.189113221357494393e-01 -1.501341017323616807e-02
1.260505893651631959e-01 -1.515928319488083105e-02
1.332020554095091069e-01 -1.528444158994283521e-02
1.403658603173300046e-01 -1.539049897121258850e-02
1.475417329663049337e-01 -1.547907898583025105e-02
1.547300331170685939e-01 -1.555182966790858747e-02
1.619303653251148445e-01 -1.561040712229585896e-02
1.691429903947576641e-01 -1.565649065581987270e-02
1.763677490627017785e-01 -1.569177298398728715e-02
1.836046083487163916e-01 -1.571796517666670598e-02
1.908520518851756775e-01 -1.573675545972524209e-02
1.981018140252182591e-01 -1.574904088158654569e-02
2.053524370551892408e-01 -1.575497810052501127e-02
2.126039080437712725e-01 -1.575469659492207894e-02
2.198562276443475350e-01 -1.574832596948096824e-02
2.271094114003186226e-01 -1.573599589489683287e-02
2.343634391800251404e-01 -1.571783619536560109e-02
2.416183316599680719e-01 -1.569397670870611300e-02
2.488740779496144140e-01 -1.566454744883564662e-02
2.561306762265844750e-01 -1.562967851603411576e-02
2.633881447415823418e-01 -1.558949999729738328e-02
2.706464620045958558e-01 -1.554414229004587485e-02
2.779056467506418326e-01 -1.549373565906277464e-02
2.851656917196233598e-01 -1.543841062490474043e-02
2.924265910537144353e-01 -1.537829781597391948e-02
2.996883672953917221e-01 -1.531352771343061532e-02
3.069509968270877076e-01 -1.524423129716956024e-02
3.142144956614603690e-01 -1.517053929139005816e-02
3.214788617618661859e-01 -1.509258268148562163e-02
3.287440838198136261e-01 -1.501049266568977095e-02
3.360101898041047419e-01 -1.492440009141882996e-02
3.432771536494994558e-01 -1.483443653000081353e-02
3.505449877112898349e-01 -1.474073320270383354e-02
3.578136967717726047e-01 -1.464342150946413949e-02
3.650832661615740493e-01 -1.454263321622954568e-02
3.723537198803175130e-01 -1.443849965404882599e-02
3.796250396239242986e-01 -1.433115284572201303e-02
3.868972296411717360e-01 -1.422072459930453711e-02
3.941703031312348560e-01 -1.410734667491915506e-02
4.014442412796077608e-01 -1.399115143064209518e-02
4.087190633280924912e-01 -1.387227072468935271e-02
4.159947603347516898e-01 -1.375083696398211007e-02
4.232713268569959775e-01 -1.362698260858786863e-02
4.305487861119089432e-01 -1.350083972482956501e-02
4.378271143510951147e-01 -1.337254128713465107e-02
4.451063252667322723e-01 -1.324221972256986804e-02
4.523864208825625899e-01 -1.311000775782254768e-02
4.596673869469249385e-01 -1.297603852035651185e-02
4.669488988779792460e-01 -1.284043530931497194e-02
4.742305461271828504e-01 -1.270325040743999941e-02
4.815123234227501325e-01 -1.256450757300581721e-02
4.887942336192386272e-01 -1.242423041279671660e-02
4.960762735785833599e-01 -1.228244265207342235e-02
5.033584467161673626e-01 -1.213916789260563456e-02
5.106407522760014750e-01 -1.199442982025997369e-02
5.179231889495410357e-01 -1.184825213618676855e-02
5.252057618774871317e-01 -1.170065841473814060e-02
5.324884667805418470e-01 -1.155167242345323843e-02
5.397713059134426894e-01 -1.140131780111808095e-02
5.470542808363370035e-01 -1.124961820287061903e-02
5.543373890613688681e-01 -1.109659737163976381e-02
5.616206346232793800e-01 -1.094227891684811105e-02
5.689040155193250126e-01 -1.078668657807783406e-02
5.761875316705502570e-01 -1.062984405819854955e-02
5.834711870042358361e-01 -1.047177497632229178e-02
5.907549778511141936e-01 -1.031250311917678020e-02
5.980389070449623201e-01 -1.015205213558072715e-02
6.053229749802435666e-01 -9.990445730314705119e-03
6.126071797554426546e-01 -9.827707662856359841e-03
6.198915259605469741e-01 -9.663861550789163563e-03
6.271760104749541931e-01 -9.498931187554897349e-03
6.344606343209848731e-01 -9.332940277175551247e-03
6.417454003412866870e-01 -9.165912484647915567e-03
6.490303054126715931e-01 -8.997871614850751210e-03
6.563153528838081563e-01 -8.828841327200815520e-03
6.636005421124006043e-01 -8.658845376139133812e-03
6.708858717192194288e-01 -8.487907537208478487e-03
6.781713467852928945e-01 -8.316051437257568346e-03
6.854569632011797697e-01 -8.143300922521409108e-03
6.927427229619349536e-01 -7.969679698792522457e-03
7.000286279545433477e-01 -7.795211476907874977e-03
7.073146755377632822e-01 -7.619920079446292072e-03
7.146008695109185016e-01 -7.443829177534443640e-03
7.218872083239988857e-01 -7.266962574183178508e-03
7.291736914027082683e-01 -7.089344052601217680e-03
7.364603232142969969e-01 -6.910997275940810453e-03
7.437470998301232150e-01 -6.731946115699066584e-03
7.510340237424067977e-01 -6.552214289554659545e-03
7.583210960115657207e-01 -6.371825553133260781e-03
7.656083144140259922e-01 -6.190803746769940955e-03
7.728956831354549806e-01 -6.009172554880301553e-03
7.801831998472554819e-01 -5.826955827008213629e-03
7.874708647381603033e-01 -5.644177353536485899e-03
7.947586815300442531e-01 -5.460860839107060417e-03
8.020466466714686327e-01 -5.277030174352135422e-03
8.093347630005292004e-01 -5.092709092387271395e-03
8.166230308802595594e-01 -4.907921391730869949e-03
8.239114484403560201e-01 -4.722690930957887910e-03
8.312000201884459649e-01 -4.537041409739335680e-03
8.384887431465248842e-01 -4.350996721331767091e-03
8.457776181373835023e-01 -4.164580665609271884e-03
8.530666482667755846e-01 -3.977816987012099993e-03
8.603558302959843918e-01 -3.790729595692849709e-03
8.676451673445368939e-01 -3.603342242046976042e-03
8.749346592073312667e-01 -3.415678764907789568e-03
8.822243043028281662e-01 -3.227763041921153427e-03
8.895141073961627676e-01 -3.039618790287372443e-03
8.968040649891573235e-01 -2.851269943533896872e-03
9.040941784095346545e-01 -2.662740313946861375e-03
9.113844502762661337e-01 -2.474053683493050281e-03
9.186748775987663151e-01 -2.285233982527788525e-03
9.259654637134636657e-01 -2.096304980826838808e-03
9.332562079764384899e-01 -1.907290554440694598e-03
9.405471090303103576e-01 -1.718214601184143292e-03
9.478381718331840844e-01 -1.529100858288201612e-03
9.551293314054561945e-01 -1.339974880256692043e-03
9.624203553995016591e-01 -1.150866564626499156e-03
9.697112111673472645e-01 -9.618006266783492558e-04
9.770019024067202462e-01 -7.728008357502130950e-04
9.842924264992021222e-01 -5.838911217318702544e-04
9.915827853216580001e-01 -3.950952947588211219e-04
9.988729809496954548e-01 -2.064371567041486694e-04
